price,situation,url,name
3.28-6.98万,上汽通用五菱/微型车,https://www.dongchedi.com//auto/series/4499,五菱宏光MINIEV
7.88-16.19万,东风日产/紧凑型车,https://www.dongchedi.com//auto/series/1145,轩逸
15.28-21.68万,比亚迪/紧凑型suv,https://www.dongchedi.com//auto/series/4865,宋PLUS DM-i
6.69-12.29万,上汽大众/紧凑型车,https://www.dongchedi.com//auto/series/393,朗逸
6.38-12.10万,一汽-大众/紧凑型车,https://www.dongchedi.com//auto/series/409,宝来
9.85-13.09万,一汽-大众/紧凑型车,https://www.dongchedi.com//auto/series/414,速腾
9.28-14.28万,一汽丰田/紧凑型车,https://www.dongchedi.com//auto/series/542,卡罗拉
16.18-26.98万,广汽丰田/中型车,https://www.dongchedi.com//auto/series/535,凯美瑞
9.19-15.10万,长城汽车/紧凑型suv,https://www.dongchedi.com//auto/series/649,哈弗H6
14.89-27.19万,一汽-大众/中型车,https://www.dongchedi.com//auto/series/415,迈腾
39.89-52.19万,华晨宝马,https://www.dongchedi.com//auto/series/146,宝马5系
15.78-24.28万,广汽本田,https://www.dongchedi.com//auto/series/289,雅阁
8.88-12.78万,广汽丰田,https://www.dongchedi.com//auto/series/534,雷凌
11.29-15.49万,长安汽车,https://www.dongchedi.com//auto/series/3196,长安CS75 PLUS
27.39-38.49万,华晨宝马,https://www.dongchedi.com//auto/series/145,宝马3系
32.52-37.22万,北京奔驰,https://www.dongchedi.com//auto/series/212,奔驰C级
21.48-32.98万,比亚迪,https://www.dongchedi.com//auto/series/4300,汉EV
16.28-24.78万,一汽丰田,https://www.dongchedi.com//auto/series/546,RAV4荣放
25.37-33.70万,一汽-大众奥迪,https://www.dongchedi.com//auto/series/96,奥迪A4L
14.09-24.79万,东风本田,https://www.dongchedi.com//auto/series/280,本田CR-V
13.78-16.58万,比亚迪,https://www.dongchedi.com//auto/series/5248,元PLUS
34.98万,理想汽车,https://www.dongchedi.com//auto/series/3059,理想ONE
21.58-31.98万,比亚迪,https://www.dongchedi.com//auto/series/4228,汉DM
9.78-14.68万,广汽本田,https://www.dongchedi.com//auto/series/288,缤智
11.18-16.58万,比亚迪,https://www.dongchedi.com//auto/series/4802,秦PLUS DM-i
33.55-41.36万,一汽-大众奥迪,https://www.dongchedi.com//auto/series/2916,奥迪Q5L
17.98-27.18万,一汽丰田,https://www.dongchedi.com//auto/series/3068,亚洲龙
36.43-57.23万,一汽-大众奥迪,https://www.dongchedi.com//auto/series/99,奥迪A6L
5.68-8.69万,吉利汽车,https://www.dongchedi.com//auto/series/733,帝豪
13.96-19.16万,广汽埃安新能源,https://www.dongchedi.com//auto/series/3101,AION S
